meal_id,name,price
1,abiyuch,10.21
2,acerola,47.09
3,acorn,21.52
4,agave,81.25
5,agents,28.87
6,agutuk,35.89
7,alfalfa,32.08
8,amaranth,7.71
9,animal,79.73
10,apache,53.74
11,apple,59.54
12,apples,41.56
13,applesauce,53.12
14,apricot,56.19
15,apricots,61.79
16,arrowhead,52.26
17,arrowroot,14.88
18,artichokes,64.18
19,artificial,27.08
20,arugula,65.79
21,ascidians,76.47
22,asparagus,56.82
23,avocados,63.32
24,baby,4.16
25,babyfood,16.83
26,bacon,14.45
27,bagel,36.66
28,bagels,80.57
29,baking,75.61
30,balls,59.46
31,balsam-pear,39.8
32,bamboo,22.36
33,bananas,4.64
34,bar,68.48
35,barbecue,73.78
36,barley,45.32
37,bars,49.91
38,basil,57.11
39,bean,52.17
40,beans,73.4
41,bear,85.38
42,beef,12.52
43,beerwurst,30.03
44,beet,49.65
45,beets,59.33
46,berry,81.09
47,besan,59.8
48,beverage,64.28
49,beverages,88.83
50,biscuits,80.73
51,bison,8.9
52,bits,11.51
53,bitter,58.98
54,blackberries,75.03
55,blackberry,54.48
56,blackeyes,70.76
57,blend,53.95
58,blueberries,60.85
59,blueberry,28.12
60,bockwurst,44.84
61,bologna,17.65
62,borage,11.23
63,bowl,70.9
64,boysenberries,23.78
65,bran,38.15
66,brand,48.0
67,bratwurst,68.5
68,braunschweiger,2.78
69,bread,44.58
70,breadfruit,30.58
71,breakfast,85.63
72,breast,86.46
73,broadbeans,48.16
74,broccoli,84.95
75,broth,63.64
76,brotwurst,27.87
77,brussels,59.49
78,buckwheat,19.15
79,buffalo,66.2
80,bulgur,18.59
81,buns,55.48
82,burdock,20.99
83,burgers,45.65
84,burrito,42.99
85,butter,46.98
86,butterbur,34.93
87,butters,85.41
88,cabbage,31.18
89,cake,82.63
90,candied,70.99
91,candies,23.86
92,capers,15.94
93,carambola,34.78
94,carbonated,86.53
95,cardoon,17.98
96,caribou,13.34
97,carissa,70.51
98,carne,45.75
99,carob,14.0
100,carob-flavor,48.61
101,carrot,58.73
102,carrots,36.75
103,cassava,20.86
104,catsup,61.55
105,cattail,50.8
106,cauliflower,6.35
107,celeriac,20.1
108,celery,35.87
109,celtuce,65.97
110,cereal,19.83
111,cereals,30.16
112,chard,26.22
113,chayote,3.09
114,cheese,44.82
115,cheesecake,33.25
116,cheesefurter,76.89
117,cherimoya,4.95
118,cherries,23.24
119,chewing,9.18
120,chicken,74.07
121,chickpea,68.07
122,chickpeas,63.43
123,chicory,79.06
124,chilchen,89.78
125,child,72.96
126,chili,34.79
127,chips,1.55
128,chiton,67.62
129,chives,48.37
130,chocolate,34.02
131,chocolate-flavor,6.59
132,chocolate-flavored,19.05
133,chokecherries,23.52
134,chorizo,16.01
135,chrysanthemum,70.32
136,cilantro,79.46
137,cinnamon,76.92
138,citronella,56.88
139,citrus,51.84
140,clam,75.31
141,clementines,51.17
142,cloudberries,1.86
143,cockles,8.12
144,cocktail,65.18
145,cocoa,68.3
146,coffee,69.22
147,coffeecake,68.77
148,collards,85.76
149,commercially,16.31
150,concentrate,42.89
151,cone,65.98
152,cones,30.5
153,confectionery,74.41
154,containing,75.83
155,cookie,69.21
156,cookies,12.95
157,coriander,45.38
158,corn,71.57
159,corned,18.2
160,cornmeal,3.96
161,cornsalad,39.6
162,cornstarch,18.75
163,cotija,85.71
164,couscous,6.76
165,cowpeas,17.74
166,crabapples,65.51
167,cracker,79.22
168,crackers,10.57
169,cranberries,38.86
170,cranberry,42.49
171,cranberry-apple,59.88
172,cranberry-apricot,88.32
173,cranberry-grape,35.88
174,cranberry-orange,64.49
175,cream,24.97
176,creams,72.3
177,creamy,9.28
178,cress,50.54
179,croissants,16.64
180,croutons,74.51
181,crumbs,45.55
182,crust,63.52
183,crustaceans,48.44
184,cucumber,13.15
185,currants,2.82
186,custard-apple,64.08
187,custards,42.64
188,dairy,36.27
189,dandelion,28.34
190,danish,70.26
191,dates,39.4
192,deer,71.6
193,dessert,83.76
194,desserts,60.92
195,diabetes,11.7
196,dill,9.22
197,dinner,63.05
198,dip,8.58
199,dishes,62.4
200,dock,24.51
201,dogs,11.43
202,dough,61.16
203,doughnuts,69.84
204,dove,68.29
205,dressing,78.37
206,drink,63.61
207,drippings,74.47
208,drumstick,76.59
209,dry,8.9
210,duck,4.78
211,dulce,65.51
212,durian,63.25
213,dutch,86.28
214,ear,75.29
215,edamame,57.8
216,egg,67.08
217,eggnog,72.28
218,eggnog-flavor,82.69
219,eggplant,50.96
220,eggs,37.35
221,elderberries,30.58
222,elk,81.71
223,emu,67.42
224,endive,37.62
225,energy,29.94
226,entrees,4.81
227,epazote,16.57
228,eppaw,53.33
229,extender,84.89
230,extract,82.7
231,falafel,84.81
232,fast,47.57
233,fat,75.83
234,fava,16.97
235,feijoa,36.76
236,fennel,23.36
237,fern,8.32
238,ferns,11.49
239,fiddlehead,68.66
240,figs,17.64
241,fillets,72.82
242,fillings,86.78
243,fireweed,41.95
244,fish,38.46
245,flakes,19.6
246,flan,30.41
247,flavored,21.42
248,flour,34.16
249,flours,51.19
250,flower,4.77
251,flowers,41.08
252,fluid,47.18
253,focaccia,13.41
254,foie,33.31
255,food,48.7
256,foods,2.37
257,formula,54.83
258,formulated,85.8
259,frankfurter,31.92
260,franks,1.62
261,frijoles,22.32
262,frog,57.28
263,from,30.33
264,frostings,19.79
265,frozen,57.23
266,fruit,26.27
267,fruit-flavored,22.29
268,frybread,46.85
269,frying,73.66
270,fungi,3.58
271,garbanzo,43.78
272,garlic,81.34
273,gelatin,66.61
274,gelatins,63.84
275,germ,7.52
276,ginger,32.48
277,gluten,37.74
278,goat,18.56
279,goose,39.54
280,gooseberries,74.0
281,gourd,39.08
282,grain,24.97
283,gram,29.84
284,granola,53.6
285,grape,77.96
286,grapefruit,81.39
287,grapes,7.94
288,gras,49.27
289,grass,87.6
290,gravy,62.01
291,green,41.61
292,greens,24.66
293,groats,21.12
294,ground,64.84
295,groundcherries,24.66
296,grouse,70.41
297,guacamole,35.16
298,guanabana,30.28
299,guava,63.35
300,guavas,45.16
301,guinea,10.59
302,gum,77.67
303,gums,33.42
304,ham,30.41
305,hazelnut,15.39
306,hazelnuts,41.48
307,headcheese,47.96
308,hearts,44.03
309,hen,7.42
310,hibiscus,83.65
311,hips,34.51
312,hominy,22.49
313,honey,36.72
314,horned,76.46
315,horseradish,43.24
316,household,15.41
317,huckleberries,40.48
318,hummus,64.23
319,hush,36.63
320,hyacinth,41.28
321,hyacinth-beans,46.85
322,hydrogenated,48.0
323,hydrolyzed,42.42
324,ice,38.82
325,imitation,35.44
326,incaparina,64.37
327,industrial,52.07
328,isolate,59.92
329,jackfruit,85.97
330,jams,46.1
331,java-plum,29.65
332,jellies,29.52
333,jellyfish,31.26
334,jerusalem-artichokes,22.4
335,jicama,16.42
336,juice,30.79
337,jujube,3.11
338,jute,5.1
339,kale,11.61
340,kanpyo,43.37
341,keikitos,11.55
342,kielbasa,74.44
343,kiwano,57.12
344,kiwifruit,75.37
345,knackwurst,66.56
346,kohlrabi,72.3
347,kumquats,55.03
348,lamb,18.7
349,lambs,57.88
350,lambsquarters,61.99
351,lard,3.42
352,lasagna,22.89
353,lean,85.92
354,leavening,13.17
355,leaves,44.55
356,lebanon,18.8
357,leche,84.2
358,leeks,17.25
359,legs,23.86
360,lemon,88.27
361,lemonade,37.42
362,lemonade-flavor,58.92
363,lemons,12.55
364,lentils,81.3
365,lettuce,84.77
366,lima,44.24
367,lime,10.81
368,limeade,23.81
369,limes,14.19
370,link,1.57
371,links,39.2
372,lion,37.71
373,litchis,77.18
374,liver,66.33
375,liverwurst,49.36
376,loaf,39.08
377,loganberries,66.2
378,loin,13.94
379,longans,21.08
380,loquats,55.86
381,lotus,73.53
382,lulo,78.63
383,lunch,9.75
384,luncheon,61.94
385,lupins,87.26
386,luxury,52.92
387,macaroni,89.94
388,made,38.7
389,malabar,41.76
390,malt,21.48
391,malted,7.33
392,mammy-apple,71.18
393,mango,50.73
394,mangos,13.94
395,mangosteen,11.39
396,maraschino,70.97
397,margarine,5.53
398,margarine-like,58.21
399,marmalade,9.23
400,mashu,35.55
401,mayonnaise,60.58
402,meal,41.06
403,meat,54.28
404,meatballs,6.6
405,meatloaf,51.94
406,melon,1.23
407,melons,69.96
408,milk,15.49
409,millet,8.09
410,miso,26.73
411,mixed,10.28
412,mocha,65.94
413,molasses,87.2
414,mollusks,86.95
415,moose,82.7
416,mortadella,88.04
417,mothbeans,43.05
418,mother's,60.65
419,mountain,70.72
420,mouse,10.48
421,muffin,36.21
422,muffins,67.13
423,mulberries,49.16
424,mung,41.55
425,mungo,10.31
426,mush,86.09
427,mushrooms,76.58
428,mustard,8.85
429,mutton,63.39
430,nance,34.54
431,naranjilla,88.43
432,natto,76.65
433,navajo,40.74
434,nectar,80.44
435,nectarines,17.02
436,nettles,43.15
437,new,5.5
438,noodles,26.41
439,nopales,8.29
440,novelties,7.49
441,nutritional,49.78
442,nuts,27.52
443,oat,49.18
444,oats,20.66
445,octopus,40.76
446,oheloberries,52.47
447,oil,69.38
448,oil-butter,86.66
449,okara,35.95
450,okra,65.51
451,olive,89.0
452,olives,56.41
453,onion,74.42
454,onions,83.46
455,oopah,89.78
456,orange,46.42
457,orange-flavor,75.4
458,orange-grapefruit,53.41
459,oranges,71.58
460,ostrich,11.31
461,oven-roasted,46.81
462,palm,70.51
463,pancakes,55.55
464,papad,12.54
465,papaya,24.55
466,papayas,9.35
467,parfait,69.18
468,parmesan,83.52
469,parsley,3.44
470,parsnips,75.23
471,passion-fruit,47.98
472,pasta,13.81
473,pastrami,67.56
474,pastries,15.5
475,pastry,21.84
476,pate,15.9
477,patties,23.02
478,patty,44.66
479,pea,34.36
480,peach,38.87
481,peaches,50.23
482,peanut,41.31
483,peanuts,70.12
484,pear,50.67
485,pears,15.1
486,peas,67.16
487,pectin,80.36
488,peel,21.02
489,people,26.89
490,pepeao,2.63
491,pepper,59.11
492,peppered,16.36
493,peppermint,50.64
494,pepperoni,23.75
495,peppers,43.91
496,persimmons,45.53
497,pheasant,63.53
498,phyllo,35.79
499,pickle,19.61
500,pickles,77.63
