schedule_id,date_created,end_time,other_details,start_time,person_id
1,1/19/2003,11:19 PM,Antilope cervicapra,11:19 AM,29
2,7/14/2008,11:25 PM,Myrmecophaga tridactyla,7:14 PM,191
3,5/7/2003,10:32 PM,Choloepus hoffmani,9:47 PM,160
4,11/28/2004,12:00 PM,Alouatta seniculus,12:03 AM,44
5,1/8/2004,9:47 PM,Felis concolor,5:44 PM,83
6,12/30/2007,9:58 PM,Tockus erythrorhyncus,2:29 PM,296
7,7/14/2020,10:02 PM,Neophron percnopterus,1:11 PM,205
8,8/31/2006,2:47 PM,Phalacrocorax carbo,2:02 PM,258
9,8/3/2019,10:33 AM,Phalacrocorax niger,2:43 AM,204
10,1/17/2009,4:36 PM,Ninox superciliaris,1:19 PM,138
11,1/1/2018,1:19 AM,Tayassu pecari,4:40 PM,266
12,6/23/2013,9:48 AM,Aegypius occipitalis,8:21 PM,278
13,2/14/2003,5:40 AM,Mabuya spilogaster,4:50 AM,26
14,4/20/2007,10:19 AM,Graspus graspus,8:28 AM,105
15,9/8/2011,7:49 PM,Picoides pubescens,4:22 PM,151
16,7/19/2020,8:30 AM,Nucifraga columbiana,8:38 PM,239
17,12/25/2005,7:31 PM,Heloderma horridum,1:58 PM,54
18,4/16/2005,8:11 PM,Sterna paradisaea,3:19 PM,61
19,4/9/2020,6:26 AM,Lorythaixoides concolor,2:17 AM,180
20,1/9/2020,1:58 AM,Erethizon dorsatum,6:31 AM,209
21,8/20/2006,7:59 AM,Limnocorax flavirostra,8:11 AM,84
22,12/13/2009,2:22 AM,Semnopithecus entellus,6:45 PM,279
23,12/6/2012,8:57 PM,Chlidonias leucopterus,7:59 PM,48
24,8/19/2007,2:29 AM,Anas bahamensis,5:51 PM,109
25,5/16/2017,9:07 PM,Marmota monax,3:35 AM,222
26,12/27/2018,6:44 AM,Haliaeetus leucoryphus,3:44 AM,52
27,9/27/2017,12:16 PM,Zalophus californicus,6:12 PM,293
28,9/25/2015,11:16 AM,Cacatua galerita,7:17 PM,23
29,6/29/2010,4:56 AM,Bettongia penicillata,12:09 PM,9
30,1/8/2011,8:43 PM,Laniarius ferrugineus,5:44 PM,164
31,11/17/2003,3:17 PM,Macaca fuscata,1:29 AM,63
32,6/20/2012,12:07 PM,Callipepla gambelii,5:43 AM,191
33,5/10/2009,11:16 PM,Ursus americanus,2:05 AM,121
34,2/26/2006,11:44 PM,Larus novaehollandiae,5:40 PM,225
