timesheet_id,end_time,notes,start_time
1,8:59 PM,Theropithecus gelada,5:37 AM
2,4:32 AM,Bucorvus leadbeateri,3:10 AM
3,12:26 AM,Microcebus murinus,1:16 AM
4,2:52 PM,Zalophus californicus,7:53 PM
5,8:17 AM,Uraeginthus bengalus,6:21 AM
6,1:43 AM,unavailable,1:05 AM
7,3:38 PM,Phoenicopterus ruber,11:36 PM
8,6:09 PM,Anthropoides paradisea,5:39 PM
9,9:06 AM,Ploceus rubiginosus,8:19 AM
10,9:47 AM,Echimys chrysurus,1:02 AM
11,5:09 PM,Graspus graspus,3:11 PM
12,9:15 PM,Tragelaphus strepsiceros,9:24 AM
13,7:13 AM,Phoeniconaias minor,1:57 PM
14,5:33 PM,Oreotragus oreotragus,7:26 AM
15,6:56 PM,Mycteria leucocephala,1:09 AM
16,11:18 AM,Spermophilus lateralis,9:50 PM
17,4:02 PM,Lama glama,6:15 AM
18,4:52 AM,Grus rubicundus,11:51 PM
19,4:21 AM,Castor fiber,6:21 PM
20,11:44 PM,Scolopax minor,3:38 AM
21,5:43 AM,unavailable,1:32 AM
22,7:17 PM,Laniaurius atrococcineus,8:32 AM
23,6:44 PM,Gyps bengalensis,5:50 AM
24,8:42 PM,Arctogalidia trivirgata,7:17 PM
25,9:53 PM,Microcebus murinus,6:10 AM
26,7:45 AM,Centrocercus urophasianus,6:16 AM
27,12:06 AM,Lasiorhinus latifrons,6:45 AM
28,12:27 AM,Podargus strigoides,3:02 PM
29,11:04 AM,Pavo cristatus,8:59 PM
30,8:39 AM,Acrantophis madagascariensis,12:37 AM
31,2:08 AM,Anastomus oscitans,9:34 PM
32,4:49 AM,Anas bahamensis,8:35 AM
33,11:03 AM,Ara chloroptera,5:05 AM
34,11:23 PM,Merops bullockoides,5:11 PM
35,10:04 PM,Crotalus cerastes,12:13 AM
36,8:26 AM,Cynictis penicillata,7:15 PM
37,5:21 PM,Laniarius ferrugineus,11:02 PM
38,3:33 AM,Oryx gazella,7:40 PM
39,5:35 PM,Tachyglossus aculeatus,10:56 PM
40,12:45 PM,Cebus nigrivittatus,3:00 PM
41,6:40 AM,Papio ursinus,4:51 PM
42,9:35 PM,Corallus hortulanus cooki,9:08 AM
43,6:34 AM,Macropus rufogriseus,12:23 PM
44,9:26 PM,Pelecanus occidentalis,1:10 PM
