address_id,city,number,street
1,Koszalin,0570,Ulica Prudnicka
2,Zielona Gora,161,Ulica Dworcowa
3,Krosno,653,Ulica Stanislawa Staszica
4,Gorzow Wielkopolski,8646,Ulica ks. Jerzego Popieluszki
5,Leszno,6370,Ulica Aleksandra Fredry
6,Stargard,876,Ulica Pomorska
7,Krakow,6,Ulica Obozowa
8,Zamosc,0445,Ulica Bracka
9,Przemysl,2841,Ulica Jana Kasprowicza
10,Wloclawek,56193,Ulica Strzelecka
11,Zielona Gora,8819,Ulica Bialoskornicza
12,Zamosc,8,Ulica Fryderyka Chopina
13,Plock,05,Ulica Wojska Polskiego
14,Tomaszow Mazowiecki,65,Ulica Armii Krajowej
15,Wieliczka,7,Ulica Lechicka
16,Rzesow,491,Ulica Oswiecimska
17,Zakopane,57,Ulica Grodzka
18,Katowice,89935,Ulica Szpitalna
19,Gdybia,46477,Ulica Jozefa Bema
20,Czestochowa,9585,Ulica Artura Grottgera
21,Gdybia,3594,Ulica Browarna
22,Krosno,8,Ulica Sienna
23,Zamosc,691,Ulica Jozefa Poniatowskiego
24,Legnica,296,Ulica Sienna
25,Leszno,2,Ulica Wroclawska
26,Wroclaw,36238,Ulica Wolnosci
27,Konin,1734,Ulica Gliwicka
28,Szczecin,72071,Ulica Nowa
29,Nowy Sacz,9,Ulica Wawelska
30,Przemysl,49,Ulica Bracka
31,Olsztyn,8043,Ulica Kolejowa
32,Nowy Sacz,19,Ulica Szczecinska
33,Wloclawek,76,Ulica Grodzka
34,Leszno,5,Ulica Rycerska
35,Sopot,6,Ulica Gdanska
36,Biala Podlasa,31149,Ulica Polnocna
37,Nowy Sacz,738,Ulica Dworcowa
38,Nowy Sacz,6941,Ulica Zwyciestwa
39,Lodz,5,Ulica Jacka Malczewskiego
40,Katowice,6,Ulica Zwierzyniecka
41,Sandomierz,58,Aleja Legionow
42,Przemysl,27868,Ulica Zwyciestwa
43,Lodz,07996,Ulica Bohaterow Monte Cassino
44,Wroclaw,23,Ulica Jana Pawla II
45,Kalisz,6847,Ulica Karmelicka
46,Pila,67,Ulica Wladyslawa Sikorskiego
47,Warszawa,7,Ulica Jozefa Poniatowskiego
48,Zamosc,93065,Ulica Polnocna
49,Olsztyn,6,Ulica Juliusza Slowackiego
50,Zamosc,67389,Ulica Gnieznienska
51,Czestochowa,47915,Ulica Brzeska
52,Radom,2,Ulica Armii Krajowej
53,Kalisz,2,Ulica Wincentego Witosa
54,Chelm,1,Ulica Szewska
55,Wroclaw,5,Ulica Gliwicka
56,Radom,5520,Ulica 11 Listopada
57,Lodz,61357,Ulica Ogrodowa
58,Stargard,11,Ulica Czestochowska
59,Wieliczka,607,Ulica Browarna
60,Pila,78,Ulica Pomorska
61,Kielce,162,Ulica Wita Stwosza
62,Szczecin,5,Ulica Wawelska
63,Kalisz,7571,Ulica Armii Krajowej
64,Tarnow,9573,Ulica Zamkowa
65,Olsztyn,5571,Ulica Katedralna
66,Nowy Sacz,4774,Ulica Bytomska
67,Lodz,76975,Ulica Siemianowicka
68,Nowy Sacz,34,Ulica Gdanska
69,Biala Podlasa,355,Ulica Zamkowa
70,Bialystok,015,Ulica Pocztowa
71,Zakopane,95046,Ulica Teatralna
72,Katowice,6227,Ulica Jozefa Poniatowskiego
73,Kalisz,3395,Ulica Jana z Kolna
74,Biala Podlasa,23876,Ulica Klasztorna
75,Jaslo,51,Ulica Stefana Zeromskiego
76,Poznan,9932,Ulica Lechicka
77,Lublin,4,Ulica Jana III Sobieskiego
78,Gniezno,345,Ulica Stefana Czarnieckiego
79,Katowice,32153,Ulica Golebia
80,Chelm,19,Ulica Henryka Sienkiewicza
81,Legnica,66348,Ulica Stefana Starzynskiego
82,Plock,25620,Ulica Karola Olszewskiego
83,Bialystok,193,Ulica Polnocna
84,Wroclaw,0,Ulica Stefana Starzynskiego
85,Legnica,013,Ulica Ignacego Paderewskiego
86,Pila,4,Aleja Wolnosci
87,Tomaszow Mazowiecki,812,Ulica Siemianowicka
88,Przemysl,1,Ulica Opolska
89,Kielce,9,Ulica Uniwersytecka
90,Szczecin,793,Ulica Zeglarska
91,Rzesow,982,Ulica Okopowa
92,Lodz,7,Ulica Widok
93,Biala Podlasa,3,Ulica Florianska
94,Przemysl,42,Ulica Katedralna
95,Bielski-Biala,63516,Ulica Starowiejska
96,Jaslo,31626,Ulica Jana Kilinskiego
97,Tarnow,26,Ulica Krolewska
98,Wieliczka,6198,Ulica Zachodnia
99,Bialystok,57,Ulica Fabryczna
100,Krosno,53889,Ulica Senatorska
101,Pila,420,Ulica Tadeusza Kosciuszki
102,Leszno,6453,Ulica Stanislawa Staszica
103,Szczecin,490,Ulica Jagiellonska
104,Lodz,58959,Ulica Kijowska
105,Katowice,74048,Ulica Poznanska
106,Kielce,0,Ulica Wita Stwosza
107,Czestochowa,257,Ulica Zeglarska
108,Tarnow,290,Ulica Gdanska
109,Gdybia,2048,Ulica Grunwaldzka
110,Lublin,9,Ulica Boleslawa Chrobrego
111,Koszalin,90,Ulica Wawelska
112,Koszalin,2070,Aleja Niepodleglosci
113,Koszalin,2529,Ulica Stanislawa Malachowskiego
114,Gdansk,36069,Ulica Jana III Sobieskiego
115,Kielce,1116,Ulica Chlodna
116,Leszno,851,Ulica Piekna
117,Gdansk,68911,Ulica Armii Krajowej
118,Legnica,37,Ulica Krolowej Jadwigi
119,Olsztyn,5968,Ulica Armii Krajowej
120,Bialystok,10780,Ulica Zachodnia
121,Poznan,4942,Ulica Jana III Sobieskiego
122,Nowy Sacz,31,Ulica Andrzeja Struga
123,Kielce,6,Ulica Piekna
124,Krakow,21193,Ulica Wladyslawa Reymonta
125,Biala Podlasa,231,Ulica Gnieznienska
126,Krosno,5805,Aleja Legionow
127,Olsztyn,33,Ulica Jezuicka
128,Legnica,74,Ulica Chmielna
129,Plock,7438,Ulica Piwna
130,Gorzow Wielkopolski,820,Ulica sw. Barbary
131,Bialystok,488,Ulica Kijowska
132,Sandomierz,00135,Ulica Karola Swierczewskiego
