meal_id,name,price
1,Aspic - Amber,52.62
2,Lotus Rootlets - Canned,31.92
3,Rambutan,54.55
4,"Soup - Beef, Base Mix",21.7
5,Crackers - Melba Toast,41.05
6,"Bar Mix - Pina Colada, 355 Ml",13.1
7,Wine - Blue Nun Qualitatswein,56.15
8,Wine - Alicanca Vinho Verde,25.11
9,"Lettuce - Romaine, Heart",33.13
10,Cheese - Augre Des Champs,24.2
11,Shrimp - Black Tiger 6 - 8,34.26
12,Banana,52.37
13,Jolt Cola - Electric Blue,68.68
14,Oil - Avocado,61.37
15,Scallops - Live In Shell,36.36
16,Bread - Assorted Rolls,34.96
17,Wine - Delicato Merlot,3.43
18,Yeast Dry - Fermipan,61.59
19,Kaffir Lime Leaves,43.94
20,Mini - Vol Au Vents,49.32
21,Tart - Raisin And Pecan,60.07
22,Duck - Legs,45.79
23,"Halibut - Whole, Fresh",52.25
24,Garbage Bags - Black,27.89
25,Soup - Tomato Mush. Florentine,6.09
26,Cookies - Fortune,37.63
27,"Nut - Almond, Blanched, Sliced",22.1
28,Napkin White - Starched,52.2
29,Beer - True North Strong Ale,67.95
30,"Wine - White, Ej Gallo",14.85
31,"Tendrils - Baby Pea, Organic",30.9
32,Veal - Provimi Inside,4.27
33,"Bread - Bagels, Mini",67.61
34,Garlic,62.47
35,"Squash - Pattypan, Yellow",59.37
36,"Stock - Veal, Brown",21.82
37,Tomato Paste,15.97
38,Carbonated Water - Blackberry,44.33
39,Spice - Montreal Steak Spice,67.76
40,Muffin - Bran Ind Wrpd,68.1
41,Truffle Cups - White Paper,21.07
42,Wine - Vidal Icewine Magnotta,19.12
43,Plasticforkblack,37.13
44,Carbonated Water - Orange,27.49
45,Chocolate - Compound Coating,1.1
46,Apricots - Dried,31.91
47,Creme De Menth - White,62.3
48,Beets - Pickled,40.63
49,Cranberries - Fresh,54.41
50,Juice - Lime,3.5
51,Bread Base - Italian,52.4
52,Mace,64.67
53,"Pepper - Chillies, Crushed",63.86
54,Fish - Bones,38.14
55,Fish - Bones,32.89
56,Sugar - Palm,21.67
57,Plate Foam Laminated 9in Blk,41.07
58,"Sauce - Soya, Dark",8.6
59,"Crab - Back Fin Meat, Canned",11.74
60,Green Scrubbie Pad H.duty,16.78
61,"Salmon - Whole, 4 - 6 Pounds",36.7
62,Salt And Pepper Mix - Black,62.27
63,Galliano,5.33
64,Monkfish Fresh - Skin Off,5.41
65,Glass Clear 8 Oz,3.98
66,Oil - Olive,59.99
67,Bagel - Everything Presliced,14.64
68,Wine - Sogrape Mateus Rose,3.5
69,Pomegranates,58.93
70,Carbonated Water - Lemon Lime,35.84
71,Lid Coffeecup 12oz D9542b,62.61
72,"Beans - Fava, Canned",58.3
73,"Beans - Kidney, Red Dry",21.09
74,Curry Paste - Madras,35.83
75,Wine La Vielle Ferme Cote Du,6.49
76,Flour Pastry Super Fine,55.93
77,Ecolab - Solid Fusion,52.87
78,"Bread - Dark Rye, Loaf",45.86
79,"Nut - Pistachio, Shelled",25.03
80,"Wine - Red, Mouton Cadet",31.69
81,Artichoke - Fresh,5.71
82,Evaporated Milk - Skim,13.34
83,"Jam - Strawberry, 20 Ml Jar",27.43
84,Lid Coffeecup 12oz D9542b,62.55
85,Wine - Sogrape Mateus Rose,25.82
86,Broom And Broom Rack White,7.39
87,Duck - Fat,30.68
88,"Olives - Black, Pitted",11.29
89,Higashimaru Usukuchi Soy,28.1
90,Wine - Montecillo Rioja Crianza,41.75
91,Sword Pick Asst,8.94
92,Wine - Touraine Azay - Le - Rideau,46.8
93,Coffee Caramel Biscotti,11.34
94,Chocolate Bar - Reese Pieces,68.39
95,Napkin White - Starched,56.93
96,Herb Du Provence - Primerba,53.08
97,"Pork - Back, Long Cut, Boneless",28.27
98,"Beef - Ground, Extra Lean, Fresh",2.81
99,Energy Drink,65.74
100,Soup - French Can Pea,63.96
101,Wine - Savigny - Les - Beaune,69.68
102,Oil - Canola,60.03
103,Wine - Alsace Gewurztraminer,30.27
104,Coconut Milk - Unsweetened,64.11
105,"Chicken - Wings, Tip Off",39.07
106,Amaretto,58.09
107,"Juice - Apple, 500 Ml",47.02
108,Beef - Short Loin,53.24
109,Guinea Fowl,66.95
110,"Cheese - Cheddar, Old White",46.06
111,Scotch - Queen Anne,5.07
112,"Coconut - Creamed, Pure",51.08
113,Lumpfish Black,12.96
114,"Leeks - Baby, White",46.82
115,Celery Root,2.98
116,Salami - Genova,57.95
117,"Stock - Chicken, White",15.47
118,Bar - Granola Trail Mix Fruit Nut,16.29
119,Soupcontfoam16oz 116con,10.03
120,"Pork - Butt, Boneless",56.56
121,Table Cloth 81x81 White,54.78
122,Wine - Rosso Toscano Igt,34.63
123,Sage Derby,49.48
124,Wine - Cava Aria Estate Brut,10.55
125,"Shrimp - 16 - 20 Cooked, Peeled",39.49
126,Veal - Slab Bacon,35.25
127,"Wine - White, Ej Gallo",69.12
128,"Pasta - Canelloni, Single Serve",8.24
129,Arizona - Plum Green Tea,14.2
130,"Syrup - Monin, Amaretta",38.18
131,"Pepper - Paprika, Hungarian",24.15
132,"Pepsi, 355 Ml",7.73
133,Nori Sea Weed - Gold Label,11.5
134,"Pork - Ham, Virginia",23.69
135,Lobster - Tail 6 Oz,40.59
136,V8 Splash Strawberry Kiwi,29.71
137,Shark - Loin,50.87
138,Plate Pie Foil,39.31
139,Cheese - Bocconcini,47.55
140,"Pasta - Shells, Medium, Dry",38.98
