order_id,tip,customer_id,payment_id,restaurant_id
1,23,44,2,3
2,7,433,23,97
3,1,58,15,53
4,17,183,22,170
5,37,121,23,39
6,28,276,12,137
7,15,427,7,68
8,4,157,4,23
9,45,236,16,322
10,22,16,11,143
11,25,471,8,465
12,15,193,21,463
13,46,97,21,402
14,17,405,5,229
15,43,496,20,47
16,41,265,23,450
17,20,370,1,4
18,20,139,8,110
19,9,198,19,244
20,36,216,15,321
21,44,408,7,81
22,23,368,16,288
23,6,301,8,261
24,1,277,18,312
25,18,218,11,475
26,44,18,15,174
27,40,240,3,207
28,32,352,9,67
29,38,33,15,160
30,17,353,5,427
31,30,465,12,388
32,6,220,4,44
33,2,180,17,332
34,13,213,20,483
35,45,450,13,379
36,49,261,3,489
37,24,22,15,485
38,45,154,10,297
39,39,429,21,328
40,47,481,18,10
41,42,384,16,112
42,38,311,18,269
43,47,25,13,324
44,39,207,22,408
45,38,174,3,469
46,45,393,1,323
47,4,370,9,436
48,14,463,1,102
49,11,124,25,420
50,36,350,15,237
51,42,198,25,271
52,2,362,24,52
53,7,500,9,473
54,13,488,9,137
55,3,423,11,477
56,37,476,7,413
57,20,391,7,149
58,3,398,23,106
59,19,34,9,467
60,50,300,5,139
61,11,422,7,315
62,22,424,15,495
63,26,152,4,353
64,25,131,9,201
65,25,384,25,145
66,12,304,15,325
67,39,75,15,353
68,21,149,14,361
69,2,455,23,47
70,43,213,23,347
71,47,435,7,109
72,12,39,8,389
73,18,268,10,345
74,17,146,18,147
75,19,300,15,446
76,7,287,25,411
77,25,109,23,468
78,46,347,6,300
79,5,405,14,23
80,9,423,2,97
81,19,102,7,488
82,46,268,20,19
83,49,38,22,43
84,27,340,17,26
85,29,330,22,493
86,42,253,18,189
87,1,440,5,329
88,43,406,13,383
89,37,105,17,402
90,17,375,24,466
91,31,40,2,125
92,43,209,10,411
93,21,392,15,36
94,2,105,13,481
95,30,497,10,62
96,8,321,9,293
97,9,125,5,497
98,36,58,23,216
99,50,401,14,207
100,5,486,6,473
101,43,489,23,266
102,47,93,8,140
103,42,434,23,390
104,6,241,20,491
105,24,419,10,40
106,25,464,1,127
107,9,420,18,109
108,30,494,3,475
109,40,417,4,315
110,18,440,21,281
111,20,106,5,235
112,19,56,9,151
113,18,183,11,116
114,7,182,8,8
115,28,35,7,454
116,40,481,15,490
117,38,425,22,268
118,18,130,17,324
119,2,469,5,264
120,10,484,16,356
121,18,382,13,369
122,8,486,9,399
123,7,319,12,287
124,15,291,16,170
125,32,253,17,205
126,31,342,2,437
127,9,226,5,385
128,2,372,4,87
129,44,325,24,488
130,35,100,12,10
131,24,54,20,330
132,34,98,6,5
133,30,184,17,234
134,30,64,17,174
135,29,420,13,207
136,42,305,19,36
137,48,196,14,218
138,21,91,18,448
139,8,411,3,192
140,38,272,11,221
141,2,433,20,458
142,4,409,21,291
143,2,295,24,309
144,27,394,17,481
145,47,302,7,336
146,39,334,10,26
147,19,345,13,68
148,5,500,22,260
149,43,276,1,71
150,34,374,15,332
151,6,64,25,42
152,37,283,9,433
153,21,89,19,287
154,36,351,19,245
155,28,241,11,75
156,44,459,16,447
157,41,180,15,292
158,12,133,2,64
159,32,286,1,64
160,1,461,8,248
161,5,3,6,264
162,8,136,4,308
163,32,308,10,77
164,48,106,23,361
165,14,470,22,251
166,21,70,18,219
167,4,93,23,183
168,21,119,9,238
169,9,305,20,143
170,29,235,11,414
171,14,399,12,410
172,22,429,23,336
173,34,78,8,404
174,44,266,7,109
175,29,376,13,81
176,44,197,9,125
177,18,39,18,271
178,34,475,22,75
179,24,272,3,82
180,4,119,20,283
181,35,475,5,166
182,41,483,17,277
183,20,365,6,123
184,15,197,14,187
185,48,64,24,472
186,48,291,11,470
187,42,149,2,106
188,45,320,2,255
189,47,146,12,77
190,17,353,5,155
191,11,199,19,125
192,36,405,23,374
193,44,384,19,138
194,50,90,12,341
195,30,491,16,187
196,48,179,19,108
