Inserting into cook... 

Records: 140  Deleted: 0  Skipped: 140  Warnings: 140
Level	Code	Message
Warning	1062	Duplicate entry '61' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '62' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '63' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '64' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '65' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '66' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '67' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '68' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '69' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '70' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '71' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '72' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '73' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '74' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '75' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '76' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '77' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '78' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '79' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '80' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '81' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '82' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '83' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '84' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '85' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '86' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '87' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '88' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '89' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '90' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '91' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '92' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '93' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '94' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '95' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '96' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '97' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '98' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '99' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '100' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '101' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '102' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '103' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '104' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '105' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '106' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '107' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '108' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '109' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '110' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '111' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '112' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '113' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '114' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '115' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '116' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '117' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '118' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '119' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '120' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '121' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '122' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '123' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '124' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '125' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '126' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '127' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '128' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '129' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '130' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '131' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '132' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '133' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '134' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '135' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '136' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '137' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '138' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '139' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '140' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '141' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '142' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '143' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '144' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '145' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '146' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '147' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '148' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '149' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '150' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '151' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '152' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '153' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '154' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '155' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '156' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '157' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '158' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '159' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '160' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '161' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '162' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '163' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '164' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '165' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '166' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '167' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '168' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '169' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '170' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '171' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '172' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '173' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '174' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '175' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '176' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '177' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '178' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '179' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '180' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '181' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '182' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '183' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '184' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '185' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '186' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '187' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '188' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '189' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '190' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '191' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '192' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '193' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '194' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '195' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '196' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '197' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '198' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '199' for key 'cook.PRIMARY'
Warning	1062	Duplicate entry '200' for key 'cook.PRIMARY'
