Inserting into courier... 
Save password for 'masnaszamauser@localhost:3306'? [Y]es/[N]o/Ne[v]er (default No): 
Records: 100  Deleted: 0  Skipped: 100  Warnings: 100
Level	Code	Message
Warning	1062	Duplicate entry '201' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '202' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '203' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '204' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '205' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '206' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '207' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '208' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '209' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '210' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '211' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '212' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '213' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '214' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '215' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '216' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '217' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '218' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '219' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '220' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '221' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '222' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '223' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '224' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '225' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '226' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '227' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '228' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '229' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '230' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '231' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '232' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '233' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '234' for key 'courier.PRIMARY'
Warning	1062	Duplicate entry '235' for key 'courier.PRIMARY'
