Inserting into customer... 

Records: 500  Deleted: 0  Skipped: 500  Warnings: 500
Level	Code	Message
Warning	1062	Duplicate entry '301' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '302' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '303' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '304' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '305' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '306' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '307' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '308' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '309' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '310' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '311' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '312' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '313' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '314' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '315' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '316' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '317' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '318' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '319' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '320' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '321' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '322' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '323' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '324' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '325' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '326' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '327' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '328' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '329' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '330' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '331' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '332' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '333' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '334' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '335' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '336' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '337' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '338' for key 'customer.PRIMARY'
Warning	1062	Duplicate entry '339' for key 'customer.PRIMARY'
