Inserting into employees_timesheets... 

Records: 1000  Deleted: 0  Skipped: 1000  Warnings: 1000
Level	Code	Message
Warning	1062	Duplicate entry '1-1' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '2-2' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '3-3' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '4-4' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '5-5' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '6-6' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '7-7' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '8-8' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '9-9' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '10-10' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '11-11' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '12-12' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '13-13' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '14-14' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '15-15' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '16-16' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '17-17' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '18-18' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '19-19' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '20-20' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '21-21' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '22-22' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '23-23' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '24-24' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '25-25' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '26-26' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '27-27' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '28-28' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '29-29' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '30-30' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '31-31' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '32-32' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '33-33' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '34-34' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '35-35' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '36-36' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '37-37' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '38-38' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '39-39' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '40-40' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '41-41' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '42-42' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '43-43' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '44-44' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '45-45' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '46-46' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '47-47' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '48-48' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '49-49' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '50-50' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '51-51' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '52-52' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '53-53' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '54-54' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '55-55' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '56-56' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '57-57' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '58-58' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '59-59' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '60-60' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '61-61' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '62-62' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '63-63' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '64-64' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '65-65' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '66-66' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '67-67' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '68-68' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '69-69' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '70-70' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '71-71' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '72-72' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '73-73' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '74-74' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '75-75' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '76-76' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '77-77' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '78-78' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '79-79' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '80-80' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '81-81' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '82-82' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '83-83' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '84-84' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '85-85' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '86-86' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '87-87' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '88-88' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '89-89' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '90-90' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '91-91' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '92-92' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '93-93' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '94-94' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '95-95' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '96-96' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '97-97' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '98-98' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '99-99' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '100-100' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '101-101' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '102-102' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '103-103' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '104-104' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '105-105' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '106-106' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '107-107' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '108-108' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '109-109' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '110-110' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '111-111' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '112-112' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '113-113' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '114-114' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '115-115' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '116-116' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '117-117' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '118-118' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '119-119' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '120-120' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '121-121' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '122-122' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '123-123' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '124-124' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '125-125' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '126-126' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '127-127' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '128-128' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '129-129' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '130-130' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '131-131' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '132-132' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '133-133' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '134-134' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '135-135' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '136-136' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '137-137' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '138-138' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '139-139' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '140-140' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '141-141' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '142-142' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '143-143' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '144-144' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '145-145' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '146-146' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '147-147' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '148-148' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '149-149' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '150-150' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '151-151' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '152-152' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '153-153' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '154-154' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '155-155' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '156-156' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '157-157' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '158-158' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '159-159' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '160-160' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '161-161' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '162-162' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '163-163' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '164-164' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '165-165' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '166-166' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '167-167' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '168-168' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '169-169' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '170-170' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '171-171' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '172-172' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '173-173' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '174-174' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '175-175' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '176-176' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '177-177' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '178-178' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '179-179' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '180-180' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '181-181' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '182-182' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '183-183' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '184-184' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '185-185' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '186-186' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '187-187' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '188-188' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '189-189' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '190-190' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '191-191' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '192-192' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '193-193' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '194-194' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '195-195' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '196-196' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '197-197' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '198-198' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '199-199' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '200-200' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '201-201' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '202-202' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '203-203' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '204-204' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '205-205' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '206-206' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '207-207' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '208-208' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '209-209' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '210-210' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '211-211' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '212-212' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '213-213' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '214-214' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '215-215' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '216-216' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '217-217' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '218-218' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '219-219' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '220-220' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '221-221' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '222-222' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '223-223' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '224-224' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '225-225' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '226-226' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '227-227' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '228-228' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '229-229' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '230-230' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '231-231' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '232-232' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '233-233' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '234-234' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '235-235' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '236-236' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '237-237' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '238-238' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '239-239' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '240-240' for key 'employees_timesheets.PRIMARY'
Warning	1062	Duplicate entry '241-241' for key 'employees_timesheets.PRIMARY'
