Inserting into payment... 

Records: 1000  Deleted: 0  Skipped: 1000  Warnings: 1000
Level	Code	Message
Warning	1062	Duplicate entry '1' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '2' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '3' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '4' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '5' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '6' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '7' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '8' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '9' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '10' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '11' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '12' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '13' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '14' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '15' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '16' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '17' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '18' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '19' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '20' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '21' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '22' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '23' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '24' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '25' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '26' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '27' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '28' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '29' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '30' for key 'payment.PRIMARY'
Warning	1062	Duplicate entry '31' for key 'payment.PRIMARY'
