Inserting into schedule... 

Records: 1000  Deleted: 0  Skipped: 878  Warnings: 2878
Level	Code	Message
Warning	1265	Data truncated for column 'person_id' at row 1
Warning	1452	Cannot add or update a child row: a foreign key constraint fails (`masnaszama`.`schedule`, CONSTRAINT `FKr21mu7uvqxeulcq97awwme6dh` FOREIGN KEY (`person_id`) REFERENCES `coordinator` (`person_id`))
Warning	1262	Row 1 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'person_id' at row 2
Warning	1452	Cannot add or update a child row: a foreign key constraint fails (`masnaszama`.`schedule`, CONSTRAINT `FKr21mu7uvqxeulcq97awwme6dh` FOREIGN KEY (`person_id`) REFERENCES `coordinator` (`person_id`))
Warning	1262	Row 2 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'person_id' at row 3
Warning	1452	Cannot add or update a child row: a foreign key constraint fails (`masnaszama`.`schedule`, CONSTRAINT `FKr21mu7uvqxeulcq97awwme6dh` FOREIGN KEY (`person_id`) REFERENCES `coordinator` (`person_id`))
Warning	1262	Row 3 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'person_id' at row 4
Warning	1452	Cannot add or update a child row: a foreign key constraint fails (`masnaszama`.`schedule`, CONSTRAINT `FKr21mu7uvqxeulcq97awwme6dh` FOREIGN KEY (`person_id`) REFERENCES `coordinator` (`person_id`))
Warning	1262	Row 4 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'person_id' at row 5
Warning	1262	Row 5 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'person_id' at row 6
Warning	1452	Cannot add or update a child row: a foreign key constraint fails (`masnaszama`.`schedule`, CONSTRAINT `FKr21mu7uvqxeulcq97awwme6dh` FOREIGN KEY (`person_id`) REFERENCES `coordinator` (`person_id`))
Warning	1262	Row 6 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'person_id' at row 7
Warning	1452	Cannot add or update a child row: a foreign key constraint fails (`masnaszama`.`schedule`, CONSTRAINT `FKr21mu7uvqxeulcq97awwme6dh` FOREIGN KEY (`person_id`) REFERENCES `coordinator` (`person_id`))
Warning	1262	Row 7 was truncated; it contained more data than there were input columns
Warning	1265	Data truncated for column 'person_id' at row 8
